state_index,state_key,stage,open_count,bonus_status,upper_total,upper_pace_gap,yahtzee_status,ones,twos,threes,fours,fives,sixes,three_of_a_kind,four_of_a_kind,full_house,small_straight,large_straight,yahtzee,chance
191,337920,True Endgame,1,Dead,41,-22,Open,4,0,3,12,10,12,0,0,25,0,0,OPEN,25
192,338208,Late Game,3,On Pace,41,-4,Open,2,4,12,8,15,OPEN,0,24,OPEN,0,40,OPEN,22
193,342723,Midgame,7,Dead,41,-13,Open,OPEN,OPEN,9,0,20,12,OPEN,OPEN,25,OPEN,0,OPEN,OPEN
194,346144,True Endgame,2,On Pace,42,-3,Open,4,6,6,16,10,OPEN,0,0,0,0,0,OPEN,15
195,352264,True Endgame,1,Under Pressure,43,-8,Zeroed,3,6,6,OPEN,10,18,23,0,25,0,0,0,23
196,352272,True Endgame,1,Under Pressure,43,-5,Zeroed,2,2,9,12,OPEN,18,18,26,0,0,40,0,20
197,356164,Midgame,6,Dead,43,-11,Open,3,6,OPEN,16,0,18,OPEN,0,OPEN,OPEN,OPEN,OPEN,25
198,360481,True Endgame,2,On Pace,44,2,Zeroed,OPEN,6,9,4,25,OPEN,18,0,25,0,40,0,29
199,360496,True Endgame,2,Ahead,44,14,Zeroed,2,10,12,20,OPEN,OPEN,22,0,25,0,40,0,21
200,362307,Midgame,6,Dead,44,-10,Zeroed,OPEN,OPEN,9,20,15,0,OPEN,0,OPEN,OPEN,OPEN,0,30
201,363665,Late Game,5,On Pace,44,-1,Open,OPEN,8,6,0,OPEN,30,23,OPEN,0,0,OPEN,OPEN,21
202,365604,Late Game,4,Ahead,44,8,Zeroed,0,4,OPEN,20,20,OPEN,27,0,0,0,OPEN,0,OPEN
203,366848,Late Game,3,Dead,44,-19,Open,0,8,12,8,10,6,25,0,OPEN,30,0,OPEN,OPEN
204,369741,Late Game,5,Ahead,45,6,Zeroed,OPEN,6,OPEN,OPEN,15,24,OPEN,25,0,0,OPEN,0,22
205,370691,Late Game,3,Dead,45,-9,Open,OPEN,OPEN,15,12,0,18,25,26,0,0,0,OPEN,25
206,372937,Late Game,5,On Pace,45,-3,Zeroed,OPEN,6,6,OPEN,15,18,OPEN,OPEN,0,0,0,0,OPEN
207,374612,Midgame,7,Ahead,45,6,Zeroed,3,8,OPEN,16,OPEN,18,OPEN,25,OPEN,OPEN,OPEN,0,OPEN
208,375495,Midgame,8,On Pace,45,0,Open,OPEN,OPEN,OPEN,12,15,18,OPEN,OPEN,25,OPEN,40,OPEN,OPEN
209,376768,Midgame,7,Dead,45,-18,Open,0,0,9,8,10,18,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
210,376775,Opening,10,On Pace,45,0,Open,OPEN,OPEN,OPEN,12,15,18,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
211,376800,Midgame,8,On Pace,45,0,Open,3,6,9,12,15,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
212,376840,True Endgame,1,Under Pressure,46,-5,Zeroed,4,6,3,OPEN,15,18,28,28,0,30,0,0,18
213,376968,True Endgame,2,Under Pressure,46,-5,Zeroed,5,8,6,OPEN,15,12,0,OPEN,25,0,0,0,17
214,378880,True Endgame,1,Dead,46,-17,Open,4,4,6,16,10,6,0,0,25,0,0,OPEN,12
215,379904,True Endgame,2,Dead,46,-17,Open,4,4,9,0,5,24,0,28,0,30,OPEN,OPEN,15
216,383764,Midgame,6,Ahead,46,7,Open,2,6,OPEN,8,OPEN,30,18,22,OPEN,OPEN,0,OPEN,OPEN
217,390477,Midgame,7,Ahead,47,8,Zeroed,OPEN,10,OPEN,OPEN,25,12,OPEN,18,OPEN,0,OPEN,0,OPEN
218,391200,Late Game,3,On Pace,47,2,Open,4,8,12,8,15,OPEN,24,0,25,0,0,OPEN,OPEN
219,393220,True Endgame,1,Under Pressure,48,-6,Zeroed,4,6,OPEN,16,10,12,20,0,0,0,0,0,22
220,393476,True Endgame,2,Under Pressure,48,-6,Zeroed,0,6,OPEN,8,10,24,20,0,OPEN,30,0,0,22
221,395268,True Endgame,2,Under Pressure,48,-6,Open,4,8,OPEN,8,10,18,30,28,0,30,0,OPEN,20
222,395296,True Endgame,2,On Pace,48,3,Open,2,0,6,20,20,OPEN,0,20,25,0,0,OPEN,15
223,395329,Late Game,3,Dead,48,-12,Open,OPEN,4,6,20,0,18,OPEN,22,0,30,0,OPEN,29
224,407648,Late Game,4,On Pace,49,4,Open,5,4,9,16,15,OPEN,OPEN,0,25,0,0,OPEN,OPEN
225,409632,True Endgame,1,Ahead,50,5,Zeroed,3,6,6,20,15,OPEN,0,24,0,0,0,0,27
226,411664,True Endgame,2,On Pace,50,2,Open,3,6,9,20,OPEN,12,0,28,0,30,0,OPEN,28
227,414738,Late Game,4,Ahead,50,8,Zeroed,3,OPEN,15,20,OPEN,12,25,22,0,30,OPEN,0,OPEN
228,418308,True Endgame,2,On Pace,51,-3,Zeroed,3,0,OPEN,16,20,12,26,20,0,OPEN,40,0,24
229,418832,True Endgame,2,On Pace,51,3,Zeroed,3,6,6,12,OPEN,24,0,0,25,30,OPEN,0,12
230,419844,True Endgame,2,On Pace,51,-3,Open,4,6,OPEN,8,15,18,25,18,0,0,0,OPEN,28
231,420352,True Endgame,2,Dead,51,-12,Open,3,8,12,12,10,6,0,26,25,OPEN,40,OPEN,30
232,421012,Late Game,5,Ahead,51,12,Open,3,10,OPEN,8,OPEN,30,0,OPEN,0,0,OPEN,OPEN,21
233,426720,Late Game,4,Ahead,52,7,Zeroed,3,8,15,16,10,OPEN,OPEN,OPEN,0,OPEN,0,0,25
234,427298,Late Game,4,Ahead,52,13,Zeroed,3,OPEN,12,12,25,OPEN,0,24,OPEN,0,OPEN,0,25
235,427800,Late Game,5,Ahead,52,16,Zeroed,3,10,9,OPEN,OPEN,30,25,22,OPEN,OPEN,OPEN,0,29
236,428032,True Endgame,1,Dead,52,-11,Open,1,4,9,20,0,18,22,24,25,0,0,OPEN,25
237,428096,True Endgame,2,Dead,52,-11,Open,1,8,3,16,0,24,OPEN,0,25,0,40,OPEN,20
238,428609,Late Game,4,Dead,52,-8,Open,OPEN,6,6,16,0,24,OPEN,0,0,OPEN,40,OPEN,26
239,431298,Late Game,5,Dead,52,-5,Zeroed,1,OPEN,12,12,15,12,OPEN,OPEN,0,0,OPEN,0,OPEN
240,432266,Late Game,5,Ahead,52,7,Open,2,OPEN,12,OPEN,20,18,23,OPEN,25,0,0,OPEN,OPEN
241,433158,Late Game,5,On Pace,52,4,Open,3,OPEN,OPEN,4,15,30,22,0,25,0,OPEN,OPEN,OPEN
242,436228,True Endgame,2,On Pace,53,-1,Open,2,6,OPEN,12,15,18,22,27,0,0,40,OPEN,23
243,436233,Late Game,3,Ahead,53,5,Open,OPEN,6,3,OPEN,20,24,21,28,25,0,0,OPEN,25
244,442370,True Endgame,1,On Pace,54,-3,Zeroed,2,OPEN,12,12,10,18,20,0,25,0,0,0,17
245,444416,True Endgame,1,Dead,54,-9,Open,2,6,6,16,0,24,28,0,0,0,40,OPEN,18
246,444418,True Endgame,2,On Pace,54,-3,Open,3,OPEN,6,12,15,18,20,27,25,0,0,OPEN,12
247,444424,True Endgame,2,On Pace,54,3,Open,3,6,12,OPEN,15,18,28,24,0,0,0,OPEN,25
248,444450,Late Game,3,Ahead,54,15,Open,3,OPEN,15,16,20,OPEN,26,0,0,0,0,OPEN,15
249,445952,Late Game,3,Dead,54,-9,Open,0,8,15,16,15,0,0,30,0,OPEN,OPEN,OPEN,29
250,446466,True Endgame,2,On Pace,54,-3,Zeroed,4,OPEN,9,20,15,6,15,0,0,0,0,0,OPEN
251,450562,True Endgame,1,On Pace,55,-2,Zeroed,3,OPEN,6,8,20,18,0,0,0,0,40,0,21
252,450564,True Endgame,1,On Pace,55,1,Zeroed,2,8,OPEN,12,15,18,18,0,0,0,0,0,20
253,450580,True Endgame,2,Ahead,55,16,Zeroed,3,8,OPEN,20,OPEN,24,27,24,25,0,0,0,17
254,452610,True Endgame,2,On Pace,55,-2,Open,4,OPEN,6,0,15,30,0,0,0,30,0,OPEN,15
255,452864,True Endgame,2,Dead,55,-8,Open,3,10,12,8,10,12,21,20,OPEN,0,0,OPEN,23
256,456704,True Endgame,2,Dead,55,-8,Open,3,6,3,16,15,12,30,0,25,0,40,OPEN,OPEN
257,458832,True Endgame,2,Ahead,56,8,Zeroed,4,8,6,20,OPEN,18,OPEN,0,25,0,40,0,15
258,460800,True Endgame,1,Dead,56,-7,Open,3,4,6,8,5,30,18,25,0,0,40,OPEN,29
259,461827,Late Game,4,On Pace,56,2,Open,OPEN,OPEN,12,16,10,18,22,18,0,30,OPEN,OPEN,24
260,462853,Late Game,3,Ahead,56,5,Zeroed,OPEN,4,OPEN,8,20,24,18,18,0,0,40,0,OPEN
261,469152,Late Game,3,Ahead,57,12,Open,3,10,9,20,15,OPEN,0,OPEN,0,30,40,OPEN,21
262,477192,True Endgame,2,Ahead,58,7,Open,4,6,9,OPEN,15,24,0,26,25,0,0,OPEN,17
263,477216,True Endgame,2,Ahead,58,13,Open,4,6,12,16,20,OPEN,26,0,25,30,40,OPEN,18
264,477506,Late Game,4,On Pace,58,1,Open,4,OPEN,3,12,15,24,OPEN,0,OPEN,0,0,OPEN,29
265,485376,True Endgame,1,Dead,59,-4,Open,4,2,0,16,25,12,27,0,0,0,0,OPEN,23
266,485380,True Endgame,2,Ahead,59,5,Open,3,8,OPEN,16,20,12,0,18,25,0,0,OPEN,22
267,499716,True Endgame,1,Ahead,61,7,Zeroed,3,6,OPEN,8,20,24,30,27,25,30,0,0,26
268,501760,True Endgame,1,Dead,61,-2,Open,0,0,9,8,20,24,0,0,25,0,0,OPEN,18
269,501761,True Endgame,2,On Pace,61,1,Open,OPEN,10,12,12,15,12,30,18,0,30,40,OPEN,26
270,501768,True Endgame,2,Ahead,61,10,Open,3,10,15,OPEN,15,18,20,18,25,0,40,OPEN,22
271,508064,True Endgame,2,Ahead,62,17,Zeroed,4,8,9,16,25,OPEN,21,OPEN,25,0,40,0,18
272,509953,True Endgame,2,On Pace,62,2,Open,OPEN,8,9,16,5,24,23,0,25,0,0,OPEN,20
273,509984,True Endgame,2,Ahead,62,17,Open,3,10,12,12,25,OPEN,24,0,0,0,0,OPEN,22
274,514568,Late Game,4,Ahead,62,11,Open,4,6,15,OPEN,25,12,23,28,25,OPEN,0,OPEN,OPEN
275,516097,True Endgame,1,Earned,89,29,Zeroed,OPEN,8,6,20,25,30,0,24,0,0,40,0,17
276,516098,True Endgame,1,Earned,67,10,Zeroed,3,OPEN,12,12,10,30,0,22,0,0,40,0,22
277,516128,True Endgame,1,Earned,64,19,Zeroed,4,6,9,20,25,OPEN,15,18,25,0,0,0,12
278,516160,True Endgame,1,Earned,72,9,Zeroed,3,6,9,20,10,24,OPEN,22,25,0,0,0,28
279,516224,True Endgame,1,Earned,63,0,Zeroed,0,8,15,8,20,12,28,OPEN,0,0,0,0,12
280,516228,True Endgame,2,Earned,66,12,Zeroed,3,2,OPEN,16,15,30,18,OPEN,25,0,0,0,26
281,516352,True Endgame,1,Earned,77,14,Zeroed,3,6,9,20,15,24,0,26,OPEN,30,0,0,27
282,516421,Late Game,4,Earned,73,22,Zeroed,OPEN,8,OPEN,16,25,24,OPEN,27,OPEN,0,0,0,27
283,516608,True Endgame,1,Earned,72,9,Zeroed,1,0,12,20,15,24,24,27,0,OPEN,0,0,27
284,516672,True Endgame,2,Earned,78,15,Zeroed,4,8,9,12,15,30,OPEN,18,0,OPEN,0,0,20
285,516676,Late Game,3,Earned,75,21,Zeroed,3,8,OPEN,20,20,24,OPEN,0,25,OPEN,0,0,27
286,517120,True Endgame,1,Earned,63,0,Zeroed,3,10,12,16,10,12,15,25,25,0,OPEN,0,20
287,517128,True Endgame,2,Earned,64,13,Zeroed,4,6,9,OPEN,15,30,0,0,0,30,OPEN,0,30
288,517581,Midgame,7,Earned,65,26,Zeroed,OPEN,10,OPEN,OPEN,25,30,OPEN,OPEN,OPEN,30,OPEN,0,22
289,518144,True Endgame,1,Earned,70,7,Open,4,8,6,20,20,12,0,0,0,0,0,OPEN,21
290,518160,True Endgame,2,Earned,68,20,Open,2,8,12,16,OPEN,30,22,24,0,0,0,OPEN,24
291,518177,Late Game,3,Earned,66,24,Open,OPEN,6,15,20,25,OPEN,0,0,0,0,40,OPEN,24
292,518208,True Endgame,2,Earned,77,14,Open,5,6,12,20,10,24,OPEN,22,25,0,40,OPEN,24
293,518219,Late Game,5,Earned,67,25,Open,OPEN,OPEN,12,OPEN,25,30,OPEN,0,0,0,0,OPEN,28
294,518272,True Endgame,2,Earned,72,9,Open,4,6,9,4,25,24,0,OPEN,0,30,0,OPEN,28
295,518339,Late Game,5,Earned,72,18,Open,OPEN,OPEN,6,16,20,30,OPEN,OPEN,0,0,0,OPEN,27
296,518405,Late Game,4,Earned,64,13,Open,OPEN,6,OPEN,20,20,18,27,25,OPEN,0,0,OPEN,15
297,518406,Late Game,4,Earned,67,19,Open,4,OPEN,OPEN,8,25,30,18,27,OPEN,30,40,OPEN,22
298,518468,Late Game,4,Earned,64,10,Open,4,4,OPEN,12,20,24,OPEN,18,OPEN,30,0,OPEN,17
299,518603,Midgame,7,Earned,67,25,Open,OPEN,OPEN,12,OPEN,25,30,OPEN,OPEN,OPEN,30,0,OPEN,20
300,518656,True Endgame,2,Earned,63,0,Open,0,6,12,12,15,18,30,0,0,OPEN,40,OPEN,24
301,518665,Late Game,4,Earned,65,17,Open,OPEN,4,6,OPEN,25,30,21,28,0,OPEN,0,OPEN,30
302,519168,True Endgame,2,Earned,78,15,Open,4,8,6,16,20,24,0,0,0,0,OPEN,OPEN,24
303,519232,Late Game,3,Earned,66,3,Open,4,6,9,12,5,30,OPEN,26,25,30,OPEN,OPEN,21
304,520192,True Endgame,1,Earned,68,5,Zeroed,2,10,9,20,15,12,28,24,25,30,40,0,OPEN
305,520592,Late Game,4,Earned,73,25,Zeroed,4,10,9,20,OPEN,30,0,OPEN,OPEN,0,40,0,OPEN
306,520643,Midgame,6,Earned,69,15,Zeroed,OPEN,OPEN,15,16,20,18,OPEN,OPEN,OPEN,30,0,0,OPEN
307,520899,Midgame,6,Earned,64,10,Zeroed,OPEN,OPEN,9,12,25,18,OPEN,OPEN,25,OPEN,0,0,OPEN
308,521155,Midgame,7,Earned,73,19,Zeroed,OPEN,OPEN,12,12,25,24,OPEN,OPEN,OPEN,OPEN,40,0,OPEN
309,521161,Midgame,7,Earned,63,15,Zeroed,OPEN,4,9,OPEN,20,30,OPEN,OPEN,OPEN,OPEN,0,0,OPEN
310,521163,Midgame,8,Earned,67,25,Zeroed,OPEN,OPEN,12,OPEN,25,30,OPEN,OPEN,OPEN,OPEN,40,0,OPEN
311,521283,Late Game,5,Earned,64,10,Zeroed,OPEN,OPEN,9,12,25,18,OPEN,20,0,30,OPEN,0,OPEN
312,521545,Midgame,6,Earned,70,22,Zeroed,OPEN,6,9,OPEN,25,30,OPEN,22,OPEN,30,OPEN,0,OPEN
313,521924,Midgame,6,Earned,67,13,Zeroed,2,4,OPEN,12,25,24,OPEN,OPEN,0,OPEN,OPEN,0,OPEN
314,521926,Midgame,7,Earned,75,27,Zeroed,4,OPEN,OPEN,16,25,30,OPEN,OPEN,25,OPEN,OPEN,0,OPEN
315,522117,Midgame,7,Earned,67,16,Zeroed,OPEN,8,OPEN,16,25,18,25,OPEN,OPEN,OPEN,OPEN,0,OPEN
316,522240,True Endgame,2,Earned,68,5,Open,0,0,15,20,15,18,0,0,0,0,40,OPEN,OPEN
317,522432,Late Game,4,Earned,72,9,Open,3,6,12,12,15,24,OPEN,OPEN,25,0,0,OPEN,OPEN
318,522434,Late Game,5,Earned,68,11,Open,0,OPEN,9,20,15,24,OPEN,OPEN,25,30,0,OPEN,OPEN
319,522753,Late Game,4,Earned,63,3,Open,OPEN,10,9,12,20,12,30,0,0,OPEN,0,OPEN,OPEN
320,522768,Late Game,4,Earned,67,19,Open,5,6,6,20,OPEN,30,23,27,25,OPEN,40,OPEN,OPEN
321,523079,Midgame,8,Earned,65,20,Open,OPEN,OPEN,OPEN,20,15,30,OPEN,28,OPEN,OPEN,0,OPEN,OPEN
322,523139,Midgame,7,Earned,67,13,Open,OPEN,OPEN,12,12,25,18,27,OPEN,OPEN,OPEN,0,OPEN,OPEN
323,523467,Midgame,8,Earned,64,22,Open,OPEN,OPEN,9,OPEN,25,30,OPEN,OPEN,25,0,OPEN,OPEN,OPEN
324,523848,Midgame,6,Earned,63,12,Open,4,6,15,OPEN,20,18,OPEN,28,25,OPEN,OPEN,OPEN,OPEN
325,523905,Midgame,6,Earned,77,17,Open,OPEN,8,12,12,15,30,24,OPEN,0,OPEN,OPEN,OPEN,OPEN
326,523969,Midgame,7,Earned,70,10,Open,OPEN,6,6,8,20,30,OPEN,OPEN,25,OPEN,OPEN,OPEN,OPEN
327,523975,Midgame,9,Earned,66,21,Open,OPEN,OPEN,OPEN,16,20,30,OPEN,OPEN,25,OPEN,OPEN,OPEN,OPEN
328,523977,Midgame,8,Earned,67,19,Open,OPEN,0,12,OPEN,25,30,OPEN,OPEN,0,OPEN,OPEN,OPEN,OPEN
329,528891,Midgame,9,Under Pressure,0,-9,Live 50,OPEN,OPEN,0,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,30,0,50,OPEN
330,541418,Midgame,6,Dead,2,-25,Live 50,2,OPEN,0,OPEN,0,OPEN,OPEN,OPEN,25,OPEN,40,50,30
331,555006,Opening,11,On Pace,3,0,Live 50,3,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,50,OPEN
332,578937,Midgame,8,Under Pressure,6,-9,Live 50,OPEN,0,6,OPEN,OPEN,OPEN,OPEN,27,OPEN,0,OPEN,50,OPEN
333,579581,Opening,11,On Pace,6,0,Live 50,OPEN,6,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,50,OPEN
334,599476,Midgame,6,Under Pressure,9,-12,Live 50,1,4,OPEN,4,OPEN,OPEN,28,OPEN,OPEN,30,OPEN,50,22
335,604155,Opening,11,On Pace,9,0,Live 50,OPEN,OPEN,9,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,50,OPEN
336,607695,Midgame,8,Dead,10,-23,Live 50,OPEN,OPEN,OPEN,OPEN,10,0,OPEN,OPEN,OPEN,30,OPEN,50,20
337,624375,Midgame,9,On Pace,12,0,Live 50,OPEN,OPEN,OPEN,12,OPEN,OPEN,OPEN,OPEN,25,OPEN,OPEN,50,22
338,628220,Midgame,9,On Pace,12,3,Live 50,4,8,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,0,OPEN,50,OPEN
339,628727,Opening,11,On Pace,12,0,Live 50,OPEN,OPEN,OPEN,12,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,50,OPEN
340,643763,Midgame,7,Under Pressure,14,-7,Live 50,OPEN,OPEN,6,8,OPEN,OPEN,27,OPEN,25,OPEN,0,50,OPEN
341,653231,Opening,10,On Pace,15,0,Live 50,OPEN,OPEN,OPEN,OPEN,15,OPEN,24,OPEN,OPEN,OPEN,OPEN,50,OPEN
342,653295,Opening,11,On Pace,15,0,Live 50,OPEN,OPEN,OPEN,OPEN,15,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,50,OPEN
343,673784,Midgame,8,On Pace,18,0,Live 50,3,6,9,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,50,24
344,677855,Opening,11,On Pace,18,0,Live 50,OPEN,OPEN,OPEN,OPEN,OPEN,18,OPEN,OPEN,OPEN,OPEN,OPEN,50,OPEN
345,697043,Midgame,6,Dead,21,-18,Live 50,OPEN,OPEN,9,12,OPEN,0,OPEN,OPEN,0,OPEN,0,50,30
346,710133,Midgame,9,On Pace,22,4,Live 50,OPEN,6,OPEN,16,OPEN,OPEN,OPEN,OPEN,OPEN,0,OPEN,50,OPEN
347,725522,Late Game,4,Dead,24,-18,Live 50,3,OPEN,3,12,OPEN,6,0,28,0,OPEN,0,50,OPEN
348,729953,Late Game,5,Dead,25,-17,Live 50,OPEN,0,6,4,15,OPEN,OPEN,26,OPEN,OPEN,0,50,24
349,758238,Midgame,8,Ahead,28,7,Live 50,4,OPEN,OPEN,OPEN,OPEN,24,OPEN,OPEN,OPEN,0,40,50,OPEN
350,759652,Midgame,7,Under Pressure,28,-8,Live 50,2,6,OPEN,20,0,OPEN,OPEN,25,OPEN,OPEN,OPEN,50,OPEN
351,770066,True Endgame,2,Under Pressure,30,-12,Live 50,3,OPEN,15,0,OPEN,12,15,26,0,0,0,50,24
352,770092,Late Game,3,Ahead,30,6,Live 50,0,10,OPEN,OPEN,20,OPEN,0,0,25,30,0,50,12
353,770256,Late Game,3,Dead,30,-18,Live 50,5,4,9,12,OPEN,0,OPEN,OPEN,25,30,0,50,18
354,779278,Late Game,4,Under Pressure,31,-5,Live 50,4,OPEN,OPEN,OPEN,15,12,0,22,25,30,OPEN,50,22
355,784301,Midgame,9,Ahead,31,10,Live 50,OPEN,6,OPEN,OPEN,25,OPEN,0,OPEN,OPEN,OPEN,OPEN,50,OPEN
356,792295,Midgame,9,Ahead,32,5,Live 50,OPEN,OPEN,OPEN,12,20,OPEN,OPEN,OPEN,0,OPEN,OPEN,50,OPEN
357,792299,Midgame,9,Ahead,32,8,Live 50,OPEN,OPEN,12,OPEN,20,OPEN,OPEN,OPEN,25,OPEN,OPEN,50,OPEN
358,796137,Midgame,7,On Pace,33,3,Live 50,OPEN,8,0,OPEN,25,OPEN,OPEN,OPEN,OPEN,0,OPEN,50,24
359,807895,Midgame,9,On Pace,34,4,Live 50,OPEN,OPEN,OPEN,16,OPEN,18,OPEN,OPEN,OPEN,OPEN,40,50,OPEN
360,824963,Midgame,6,Dead,36,-18,Live 50,OPEN,OPEN,9,12,15,0,0,OPEN,25,OPEN,OPEN,50,OPEN
361,831632,Late Game,3,Dead,37,-11,Live 50,1,4,0,20,OPEN,12,27,OPEN,0,30,40,50,OPEN
362,835624,True Endgame,2,Ahead,38,5,Live 50,2,6,15,OPEN,15,OPEN,26,28,0,0,0,50,29
363,835972,Late Game,3,Dead,38,-16,Live 50,3,4,OPEN,0,25,6,26,OPEN,OPEN,30,40,50,18
364,836496,Late Game,4,Under Pressure,38,-10,Live 50,4,4,6,12,OPEN,12,18,OPEN,OPEN,OPEN,0,50,30
365,836800,Late Game,3,Dead,38,-25,Live 50,3,8,9,12,0,6,OPEN,OPEN,25,30,OPEN,50,23
366,841041,Midgame,6,Under Pressure,38,-7,Live 50,OPEN,2,6,12,OPEN,18,OPEN,27,OPEN,0,OPEN,50,OPEN
367,843792,True Endgame,1,Under Pressure,39,-9,Live 50,3,8,12,16,OPEN,0,0,26,0,0,40,50,29
368,844832,True Endgame,2,Under Pressure,39,-6,Live 50,3,6,9,16,5,OPEN,0,20,0,0,OPEN,50,15
369,852241,Late Game,3,Under Pressure,40,-5,Live 50,OPEN,0,12,16,OPEN,12,22,0,OPEN,0,0,50,15
370,869334,Midgame,7,Ahead,42,9,Live 50,2,OPEN,OPEN,16,OPEN,24,OPEN,OPEN,OPEN,OPEN,0,50,17
371,882382,Midgame,8,Ahead,43,7,Live 50,4,OPEN,OPEN,OPEN,15,24,OPEN,OPEN,25,OPEN,OPEN,50,OPEN
372,884744,True Endgame,1,Under Pressure,44,-7,Live 50,5,0,12,OPEN,15,12,0,30,0,30,40,50,29
373,884772,True Endgame,2,Ahead,44,8,Live 50,3,8,OPEN,8,25,OPEN,0,0,25,0,0,50,22
374,889880,Late Game,4,Ahead,44,8,Live 50,3,8,15,OPEN,OPEN,18,0,27,0,0,OPEN,50,OPEN
375,893138,Late Game,4,On Pace,45,3,Live 50,3,OPEN,12,12,OPEN,18,OPEN,OPEN,0,30,0,50,22
376,901640,True Endgame,2,Under Pressure,46,-5,Live 50,4,4,6,OPEN,20,12,15,20,0,OPEN,40,50,25
377,917574,Late Game,3,On Pace,48,0,Live 50,3,OPEN,OPEN,0,15,30,OPEN,0,0,0,0,50,26
378,926849,Late Game,3,Dead,49,-11,Live 50,OPEN,4,9,12,0,24,25,OPEN,0,0,OPEN,50,23
379,929796,True Endgame,2,Under Pressure,49,-5,Live 50,5,6,OPEN,16,10,12,20,25,0,0,0,50,OPEN
380,942674,Late Game,4,Ahead,51,9,Live 50,4,OPEN,9,8,OPEN,30,OPEN,20,0,OPEN,0,50,12
381,943109,Late Game,3,On Pace,51,0,Live 50,OPEN,6,OPEN,0,15,30,0,18,0,0,OPEN,50,25
382,952078,Midgame,6,Ahead,52,16,Live 50,3,OPEN,OPEN,OPEN,25,24,22,22,OPEN,OPEN,OPEN,50,18
383,958467,True Endgame,2,On Pace,53,-1,Live 50,OPEN,OPEN,9,20,0,24,27,0,0,30,0,50,15
384,964226,Late Game,5,On Pace,53,-4,Live 50,4,OPEN,0,16,15,18,15,OPEN,25,OPEN,OPEN,50,OPEN
385,966660,True Endgame,1,On Pace,54,0,Live 50,4,6,OPEN,12,20,12,21,0,25,0,0,50,30
386,966858,Late Game,4,Ahead,54,9,Live 50,2,OPEN,15,OPEN,25,12,OPEN,OPEN,0,30,0,50,28
387,967170,True Endgame,2,On Pace,54,-3,Live 50,4,OPEN,6,16,10,18,27,0,0,OPEN,0,50,24
388,967200,True Endgame,2,Ahead,54,9,Live 50,2,10,12,20,10,OPEN,20,0,25,OPEN,0,50,22
389,974854,True Endgame,2,Ahead,55,7,Live 50,2,OPEN,OPEN,20,15,18,21,30,0,0,40,50,21
390,974856,True Endgame,1,On Pace,55,4,Live 50,3,4,15,OPEN,15,18,26,20,0,30,0,50,26
391,983561,Late Game,3,Ahead,56,8,Live 50,OPEN,10,9,OPEN,25,12,0,26,0,OPEN,0,50,25
392,999425,True Endgame,1,On Pace,58,-2,Live 50,OPEN,6,12,12,10,18,27,0,25,0,40,50,21
393,1008129,True Endgame,2,On Pace,59,-1,Live 50,OPEN,8,9,16,20,6,15,0,25,OPEN,40,50,15
394,1015810,True Endgame,1,On Pace,60,3,Live 50,4,OPEN,12,16,10,18,24,24,25,0,40,50,18
395,1015818,True Endgame,2,Ahead,60,15,Live 50,2,OPEN,9,OPEN,25,24,30,22,25,30,0,50,15
396,1024001,True Endgame,1,On Pace,61,1,Live 50,OPEN,0,12,16,15,18,0,27,0,0,0,50,25
397,1024009,True Endgame,2,Ahead,61,13,Live 50,OPEN,2,15,OPEN,20,24,24,20,0,0,0,50,15
398,1028433,Late Game,5,Ahead,61,16,Live 50,OPEN,6,15,16,OPEN,24,OPEN,24,OPEN,30,0,50,OPEN
399,1032193,True Endgame,1,On Pace,62,2,Live 50,OPEN,6,9,20,15,12,22,25,25,0,0,50,17
400,1032194,True Endgame,1,Ahead,62,5,Live 50,0,OPEN,9,20,15,18,0,22,25,0,0,50,15
401,1032322,True Endgame,2,Ahead,62,5,Live 50,2,OPEN,9,12,15,24,0,OPEN,0,0,40,50,21
402,1040388,True Endgame,1,Earned,63,9,Live 50,3,4,OPEN,12,20,24,21,0,25,0,40,50,18
403,1040389,True Endgame,2,Earned,63,12,Live 50,OPEN,6,OPEN,20,25,12,0,30,0,0,40,50,12
404,1040448,True Endgame,1,Earned,84,21,Live 50,4,8,12,16,20,24,OPEN,0,0,0,40,50,29
405,1040512,True Endgame,1,Earned,64,1,Live 50,0,6,9,16,15,18,0,OPEN,0,0,40,50,26
406,1040521,Late Game,3,Earned,65,17,Live 50,OPEN,8,12,OPEN,15,30,0,OPEN,0,30,40,50,21
407,1040580,Late Game,3,Earned,64,10,Live 50,3,6,OPEN,16,15,24,OPEN,OPEN,0,0,0,50,28
